rating,title,text,timestamp,helpful_vote,verified_purchase,category,language,sentiment,sentiment_score,subjectivity_score,aspects,rating
4.0,Soft,"I wear headbands like this in the evening when washing my face and following my skincare routine. These headbands are very soft. I found these to be a little small, but they do stretch enough to accommodate my large head. I have just had other headbands that were a little larger and didn't require being stretched to the max just to fit. I like the variety of colors and have shared these with my eighteen year old daughter. One thing that I do like is that the bow doesn't get off centered as easily as my old one. My old one has to be adjusted every time I put it on. This one seems to be just fine.",2020-03-11 13:07:22.329,0.0,False,All_Beauty,en,neutral,0.38404980301856995,0.7432339191436768,"['small', 'fit', 'found', 'stretch']",4.0
4.0,"TRY THIS! test on FACE for match not hands, evens out skin tone, not for dry skin","I first tried it on the back of my hand and was horrified. The resulting color was orange pink. Then, only because I wanted to thoroughly & accurately test the product for reviewing, I decided to put it on half of my face. I expected to see orange skin like on my hand, but oddly, this just blended into my skin as a VERY CLOSE MATCH. So I put it on the rest, including under my eyes. Not bad. Glad I put it on my face.My skin is fair, pale, with cool undertones. What I think happened is that my hands were much cooler than my face. It is the heat of the skin that triggers the color change. It is winter, and I keep my house cool so naturally my hands were on the cool side. Skin of my face must have been just warm enough for this to work.That being said, the color match is impressive. It comes out in a grayish white cream, then bursts into color, then recedes to a dang close color match. On me, it was just a tiny bit darker & warmer than I would normally go for my ultra pale face. It covered well and did a nice job of evening out my skin tone (I have pink cheeks from ROSACEA- type 1 redness w/ visible veins). It didn't look weird. It goes on like a foundation, so plan to use a mirror to make sure that you are adequately covering your face.I think this is better for those that do not have dry skin. I have dry skin. Even with great products used underneath, I still thought this looked a little patchy on my skin in some spots. No pilling or balling though. Stayed in place for remainder of day. It could be my lack of skill in applying make up (this is an SPF, but it needs to be manipulated like a foundation).Overall, it isn't for me, but it does seem to be a quality product. I find it to be an interesting product and might be worth the try, especially if you want some natural coverage that will even out the skin. It does cover nicely. SPF48 P++""Apply when finishing skincare and starting base makeup""",2021-02-02 14:58:16.403,0.0,False,All_Beauty,en,negative,0.4201246500015259,0.9761059880256653,"['tone', 'horrified', 'orange pink', 'accurately test']",5.0
5.0,Excellent product,This is so very good for my hair,2021-11-26 18:52:21.170,0.0,True,All_Beauty,en,positive,0.9771382808685303,0.9748688340187073,[],5.0
5.0,Five Stars,My daughter loves the foot pedicure unit.,2017-02-13 15:26:12.000,0.0,True,All_Beauty,en,positive,0.7187591195106506,0.7812371850013733,[],5.0
5.0,Awesome foundation!,"I am so glad they made a product like this because I can never seem to find the right color to match my skin and I end up with that Foundation the line on my chin with the two different colors. Not only is this product lightweight, it smells nice, plus it blends in with my skin tone almost perfectly. This is definitely going to be my go to Foundation.",2019-09-17 16:38:04.832,7.0,True,All_Beauty,en,positive,0.706739604473114,0.9757173657417297,"['perfectly', 'tone']",5.0
4.0,Put the container in something before opening. The little pieces stick to the top and go everywhere.,"This Makartt Nail Decoration Set is gorgeous. The only thing I don't like is the static in the containers. The pieces attach to the top of the container until you open them and then little pieces go everywhere.The kit comes with a plastic tray with 12 small containers inside. Each container opens and closes with a screw-top lid. Be sure to set the container in something before opening it as the contents will go everywhere, especially the small things. The containers have beads, gemstones, and charms. There are also 3 small sheets of stickers included with the kit.I will be recommending this Makartt Nail Decoration Set to family and friends.",2021-11-28 23:14:24.181,0.0,False,All_Beauty,en,negative,0.5332693457603455,0.9799292683601379,"['everywhere.', 'gorgeous', 'stick', 'open']",5.0
4.0,Comfortable Head Band,"I work at home, so I can't get by without wearing a face mask for a good part of the day, but I do wear one if I am going out. I have had issues with some masks not staying over my ears. This is a good way to utilize those masks. The  headband is comfortable and light weight. It has some stretch to it. The buttons are a little loose, so I tightened them before I wore the headband out in public. I found that I had to pay attention to how I was putting it on my head so the buttons were even, otherwise my mask was crooked. It's definitely a helpful item.",2020-06-25 00:09:00.906,1.0,False,All_Beauty,en,positive,0.6031196713447571,0.6022505164146423,[],4.0
4.0,"Doesn't irritate my sensitive skin. Creamy,  requires very little to use. No actual change to wrinkles.","I'm not a big believer in all the hocus pocus claims made by every single women's skin care product on the market. They all say they will make your wrinkles or crows feet shrink or smooth out or give your 40 something face a &#34;youthful&#34; glow again. At best, these products moisturize, cleanse, and some provide some protection from sun exposure damage. This serum from EB5 makes the usual claims, of course, but it's not as outrageously expensive as so many of the other brands. It's a creamy concoction and it takes very little to cover my entire face - the instructions say just use one pump and that is sufficient. There's a faint scent that makes me think of Asian food - I guess that's the sesame seed oil,but the scent fades quickly. It takes about ten minutes to fully absorb into my skin, so I am not using this immediately before going to bed. I haven't had any skin irritation or breaking out in a week. Nor have I noticed any visible difference in the overall condition of my skin and no &#34;plumping&#34; in my laugh lines. My face is soft and it feels just a moisturized as when I use only my regular moisturizer. So....four star rating for no negative reaction and for being a nice enough moisturizer requiring very little product.",2015-11-28 18:19:40.000,3.0,False,All_Beauty,en,neutral,0.41761061549186707,0.528902530670166,"['requires', 'youthful', 'wrinkles.', 'market', 'glow', 'actual change']",1.0
5.0,These bandages have many uses; sticks to itself and not to skin or fur; not only tattoo grip tape,"These bandages have many uses. There are 16 black rolls that are individually wrapped and each roll is 5 yards apiece and 2 inches tall. These self-adhere as the bandage is wrapped around a hand, leg, arm, etc. These stick well. The stretch allows this to be used like kinesiology tape with the exception that one cannot shower with this successfully and each wrap is for one-time use.The entire roll does not have to be used at once as it depends on the amount needed. When used where joints open and close, such as a knee or elbow, the wrap may bunch up in the crease as expected. However, this is perfect to use as a lightweight version of a carpal tunnel brace by wrapping it around a bad wrist, hand, and thumb. It does not stick to my skin nor to a pet's fur, which is wonderful.This is versatile enough to wrap around the handle of a tennis racquet to get a good grip or an umbrella or cane handle. There are just so many useful possibilities besides medical reasons.In summary, because the wraps are two inches wide and are not designed to stick to the skin, it does have a tendency to bunch up if wrapped around a knee or elbow, so it is not perfect for everything. I feel these are great bandages to have in one's medicine cabinet. At the current price of $15.19 ($15.99 minus 5%) it comes to $.95 cents per roll which is on the high side of competitively priced. These are self-adhesive bandages rebranded as tattoo grip tape.",2021-10-15 23:38:54.612,2.0,False,All_Beauty,en,neutral,0.3659980595111847,0.7364693284034729,"['roll', 'individually wrapped', 'leg', 'arm']",5.0
4.0,Easy to Use!,"As I have gotten older (I'm in my early fifties), I've noticed that my eyelashes have become sparser. This eyelash growth serum is easy to use. It doesn't sting or irritate my sensitive eyes either. I haven't seen much change in the length of my lashes yet, but I think I can see some new growth or density. I will continue using this and update my review if necessary.",2020-01-18 01:59:40.004,1.0,False,All_Beauty,en,neutral,0.39003822207450867,0.6329529881477356,"['sting', 'irritate']",5.0
